scientific_name,common_name,type_of_cancer,components,compound,part,region_found,reference,image,fda_approved_drug
Melia azedarach,Hog bush,Hepatocellular carcinoma,Limonoid,Toosendanin,Bark,Northwest India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Melia azedarach.jpeg,
Mentha species,"Mint,Pudina,Putiha ",Prostate cancer ,Monoterpene ketones,Carvone,Leaves,"Uttar Pradesh, Punjab and Haryana",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Mentha species.jpeg,
Miquelia dentata,Ghenera,Ovarian cancer,"Pentacyclic triterpenol, Alkaloid","α-Amyrin, Camptothecin",Leaves,"South India (Tamil Nadu, Kerala)",https://link.springer.com/book/10.1007/978-981-32-9147-8,Miquelia dentata.jpeg,
Momordica charantia,Karela/bitter melon,Breast Cancer,"Charantin,Flavonoids,TriterpenesVitamins and Mineral,Proteins and Enzymes","Natural steroids,saponins,Polypeptide-p,catechin, epicmomordin and charantadiolatechin","Fruit, leaves, and seeds","Uttar Pradesh, Maharashtra, West Bengal, Kerala, and Assam.",https://www.researchgate.net/publication/281614854_Momordica_charantia_as_a_Potential_Medicinal_Herb_An_Overview,Momordica charantia.jpeg,
Momordica dioica,"Spiny gourd, teasel gourd, small bitter gourd, kankro, kartoli, kantola, kantroli, ban karola, or janglee karela.",Breast Cancer and Lung Cancer,"Phenolic, flavonoid, carotenoid, and glycosides",Lycoperdic acid,Roots,"West Bengal, Gujarat, Madhya Pradesh, Maharashtra and Karnataka, Chhattisgarh, Jharkhand and odisha",https://www.sciencedirect.com/science/article/abs/pii/B978012817592700023X?via%3Dihub,Momordica dioica.jpeg,
Morinda citrifolia,"Indian mulberry, Brimstone tree",Lung cancer and blood cancer,Phytosterols,"Gallic acid, Beta-sitosterol","Fruit, root","Kerala, Karnataka, Tamil Nadu, and Andhra Pradesh",https://link.springer.com/book/10.1007/978-981-32-9147-8,Morinda citrifolia.jpeg,
Moringa oleifera,"Mungna, saijna, shajna","Cervical carcinoma, leukemia",Phenol,"Eugenol, D-allose,  isopropyl isothiocynate","Leaves, bark and seeds","Tamil Nadu, Karnataka, Kerala, and Andhra Pradesh",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Moringa oleifera.jpeg,
Murraya koenigii,"Curry leaf tree, Daun kari, Indian curry tree, Curry bush, Karapincha, Karwa pale, Garupillai, Kerupulai","Lung, breast, and colorectal cancer","Flavonoid, phytosterol","Beta-sitosterol glucoside, Stigmasterol",Leaves and stem,"Kerala, Karnataka, Tamil Nadu, and Andhra Pradesh",https://link.springer.com/book/10.1007/978-981-32-9147-8,Murraya koenigii.jpeg,
Musa sapientum,Sweet banana,"Breast, cervical, colorectal, esophageal, hepatic, oral, prostate, and skin cancer","Phenolic aldehydes, cycloartanols","Berulic acid, protocatechualdehyde, 2-pentanone, 4-epicyclomusalenone, cycloeucalenol acetate, and chlorogenic acid",Peel,"Tamil Nadu, Andhra Pradesh, Maharashtra, and Karnataka",https://ijair.org/administrator/components/com_jresearch/files/publications/IJAIR_2569_FINAL.pdf,Musa sapientum.jpeg,
Myristica fragrans,Nutmeg,Human leukemia,"Essential oils,Terpenes ,Terpenoids","Phenolic Compounds,Myristicin,Elemicin",Seeds,Kerala and Tamil Nadu.,https://www.sciencedirect.com/science/article/abs/pii/S2452014419301955,Myristica fragrans.jpeg,
Nelumbo nucifera,Sacred Lotus,Leukemia,"Sesquiterpenes, flavonoids, riterpenes, and alkaloidsa",Liensinine and nuciferine,"Flower, seeds, leaves, rhizomes",Throughout regions of India,https://doi.org/10.1016/j.jaim.2015.09.001,Nelumbo nucifera.jpeg,
Nerium indicum,"Indian oleander, Karavira, Arali, Kanaveeram, and Suprasam",Lung cancer,"Flavonoid, triterpene","Oleanderocioic acid, quercetin-5-O-[α-L-rhamnopyranosyl-(1→6)]-β-D-glucopyranoside",Leaves,"The Himalayas, the upper Gangetic plain, Madhya Pradesh, Uttar Pradesh, Punjab",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Nerium indicum.jpeg,
Nerium oleander,Oleander,Lung cancer,"Polyphenols,polysaccharide,oleandrin ,nerioside,flavonoids, alkaloids, steroids","Epicatechine, catechin ,chlorogenic acid,arabinose, galacturonic acid, galactose, and rhamnose",Leaves,"Kerala, Karnataka, Tamil Nadu, and Andhra Pradesh, as well as coastal regions and northern states. ",https://www.semanticscholar.org/paper/A-concise-review-on-Nerium-oleander-L.-An-important-Sinha-Biswas/aa1644c4d382427e1aa595f2aa4ea24359a64dda,Nerium oleander.jpeg,
Nigella sativa,"Black cumin, black seeds, or kalonji","Lung Cancer, Kidney Cancer, Liver Cancer, Prostate Cancer, Breast Cancer","Monoterpene, alkaloids","Thymoquinone, dithymoquinone,nigellicimine,nigellidine",Seeds and oil,"West Bengal, Punjab, Jharkhand, Himachal Pradesh, Bihar, Assam",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Nigella sativa.jpeg,
Nothapodytes nimmoniana,"Peenari , Pulippacha","Lung, colon, ovarian cancers",Alkaloid,"Camptothecin, Secologanin","Root, leaf, bark","Western Ghats, India.",https://doi.org/10.1016/j.sajb.2023.03.008,Nothapodytes nimmoniana.jpeg,
Ocimum sanctum,Holy basil or tulsi,"Skin Cancer, Liver Cancer, Oral Cancer, and Lung cancers",Phenol,"Eugenol, rosmarinic acid, apigenin, myretenal, luteolin, β–sitosterol, and carnosic acid",Leaves,North central India,https://doi.org/10.1007/978-981-13-7248-10,Ocimum sanctum.jpeg,
Oenanthe javanica,Water dropwort,Colon cancer,"Onoterpenoid alkaloids, coumarin ","Corynanthe, Methoxsalen, Isopimpinellin, Bergapten","Leaves, stem, and roots","Kashmir, Himachal Pradesh, Punjab, Uttar Pradesh, West Bengal, Sikkim, Arunachal Pradesh",https://link.springer.com/book/10.1007/978-981-32-9147-8,Oenanthe javanica.jpeg,
Oldenlandia affinis,"Diamond flower, Daman pappar","Lung cancer, intestinal cancer, and breast cancer.",Flavonoid,"Rutin, Oleanolic acid",Entire plant,"Hill slopes at elevations up to 1,200 meters",https://link.springer.com/book/10.1007/978-981-32-9147-8,Oldenlandia affinis.jpeg,
Oldenlandia diffusa,"Bhuinimba, Bhumyamalaki, and Kariyat.",Lung cancer,"Iridoid glycosides:,Flavonoids,Polyphenols,Triterpenoids,Alkaloids,Polysaccharides","Speruloside, deacetylasperulosidic acid,loganic acid,aempferol, quercetin,apigenin ,chlorogenic acid ,caffeic acidm,oleanolic acid,ursolic acid,strictosamide ,strictosidine","Stems, leaves,  flowers","Western Ghats, Eastern Ghats, central, northern, and southern India",https://www.researchgate.net/publication/325806191_Traditional_Medicinal_Plants_and_their_therapeutic_potential_against_major_cancer_types,Oldenlandia diffusa.jpeg,
Olea ferrugenia,Wild olive,Primary bone tumor,Lipophilic organic compound,Butylated Hydroxytoluene,Entire plant,Jammu and Kashmir to Uttarakhand,https://link.springer.com/book/10.1007/978-981-32-9147-8,Olea ferrugenia.jpeg,
Ophiorrhiza mungos,Indian snake root,Lung cancer,Alkaloid,"Methoxycamptothecin, Camptothecin",Root and stem,Western Ghats of Kerala,https://link.springer.com/book/10.1007/978-981-32-9147-8,Ophiorrhiza mungos.jpeg,
Oroxylum indicum,Indian trumpet tree,"Liver cancer, nasopharyngeal cancer","Polyphenols,flavonoids","Baicalein, Biochanin A, Oroxylin A, Chrysin, and Apigenin",Root and Bark extracts,"Himalayan foothills, Eastern and Western Ghats, and North East India",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Oroxylum indicum.jpeg,
Oryza sativa,Rice,"Stomach, breast, and oral cancer",Anthocyanidin,"Cyanidin, Malvidin",Seed,"Assam, Bihar, Chhattisgarh, Haryana, Punjab, Gujarat, Andhra Pradesh, Odisha",https://link.springer.com/book/10.1007/978-981-32-9147-8,Oryza sativa.jpeg,
Paederia foetida,Gandha Prasarini,Human prostate cancer,Pentacyclic triterpenoid,Lupeol and β-sitosterol,Leaves,"Assam, Arunachal Pradesh, Tripura, Meghalaya, Manipur, Nagaland, Sikkim, Andhra Pradesh, Mizoram, Odisha, Telangana, and the northern part of West Bengal",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Paederia foetida.jpeg,
Panax ginseng,"Ashwagandha, Indian ginseng",Breast cancer,Steroid saponins,"Ginsenosides, panaxosides",Roots,"Madhya Pradesh, Gujarat, Punjab, Sindh, Rajasthan, Kerala",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Panax ginseng.jpeg,
Petiveria alliacea,Guinea-hen weed and Anamu,"Neuroblastoma, primary bladder carcinoma, mammary carcinoma, sarcoma, and melanoma.",Organosulfide,Dibenzyl trisulfide,Root,The waste lands of Thiruvananthapuram district in Kerala,https://link.springer.com/chapter/10.1007/978-3-319-93997-1_5,Petiveria alliacea.jpeg,
Phaleria macrocarpa,"Mahkota Dewa, Pau, Makuto Rojo","Breast cancer, brain tumor","Lignan, alkaloids and saponins","Pinoresinol, Phalerin, gallic acid, Icaricide C, magniferin, mahkoside A, dodecanoic acid, palmitic acid, des-acetylflavicordin-A, flavicordin-A, flavicordin-D, flavicordin-A glucoside",Stem,North Eastern India,https://doi.org/10.1016/j.genrep.2019.100553,Phaleria macrocarpa.jpeg,
Phaseolus vulgaris,French bean,Colon and prostate cancer,"Polyphenols, flavonoids","Kaempferol, quercetin 3-O-glucoside",Fruit,Western Himalayas of Jammu and Kashmir,https://link.springer.com/chapter/10.1007/978-3-642-29974-2_13,Phaseolus vulgaris.jpeg,
Phyllanthus amarus,Bhumyaamalaki,Cervical cancer,"Alkaloid,Flavonoids, polyphenolic compounds ,glycosides","Lignans,Lignans,vitamin C, vitamin E, and beta-carotene","Leaves,Stems,Bark,Roots",Throughout India,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Phyllanthus amarus.jpeg,
Phyllanthus niruri,"Bhumi Amla,Jar-amla, Bhui-amla, Jangli-amla",Prostate cancer ,"Polyphenol, flavonoids","Ellagitannins, gallotannins",Methanolic extracts,Tropical coastal areas,https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Phyllanthus niruri.jpeg,
Phytolacca acinosa,"Indian pokeweed, Himalayan pokeberry,Indian poke, Indian pokeberry","Lung cancer, breast cancer, and cancer of lymph nodes","Tannin, ester of palmitic acid","Acinospesigenin,Gamma-aminobutyric acid, Myristyl palmitate, Esculentic acid",Bark,Temperate eastern India and the Himalayas,https://link.springer.com/book/10.1007/978-981-32-9147-8,Phytolacca acinosa.jpeg,
Picrorrhizia kurroa,"Kutki, Indian gentian",Human breast cancer,Iridoid glycosides ,"Picrorrhizia (kutki) Picrosides I, II, III and kutkoside",Rhizome and roots,"Himalayan region of India, from Kashmir to Sikkim",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Picrorrhizia kurroa.jpeg,
Piper betel,"Pepper, Betel","Colorectal cancer, oral cancer, and tumor",Alkaloids,"Aristolactams, 4,5-Dioxoaporphines",Leaves,"Bengal, Bihar, Orissa, Andhra Pradesh, Karnataka, Uttar Pradesh and Tamilnadu",https://link.springer.com/book/10.1007/978-981-32-9147-8,Piper betel.jpeg,
Piper boehmerifolium,Kathali champa,"Breast cancer, lung cancer, cervical cancer, prostate cancer, gastric cancer, uterine cancer, and colon cancer",Phenolic monoterpenoid,Carvacrol,Root,Western Ghats,https://link.springer.com/book/10.1007/978-981-32-9147-8,Piper boehmerifolium.jpeg,
Piper chaba,"Long pepper, Indian long pepper, Lindi piper, Pipalli",Breast cancer and tumor,Alkaloid,Corynanthe,Fruit,Tripura and West Bengal,https://link.springer.com/book/10.1007/978-981-32-9147-8,Piper chaba.jpeg,
Piper cubeba,Kankola,Breast cancer ,"Phenol, flavonoids, monoterpenes",β-elemene and β-cubebene,"Seeds, leaves","Tropical and subtropical regions, especially in Mysore, India",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Piper cubeba.jpeg,
Piper latifolium,Dipli-chueak,Breast cancer and tumor,Monosaccharide,D-Xylose,Leaves,"West Bengal, Eastern Uttar Pradesh,Madhya Pradesh, Maharashtra, Kerala, Karnataka and Tamil Nadu",https://link.springer.com/book/10.1007/978-981-32-9147-8,Piper latifolium.jpeg,
Piper longum,"Long pepper, Pippali",Breast cancer,Alkaloid,Pippalartine,Fruits,"The tropical rainforests of India, including the central Himalayas, Assam, Khasi, Mikir hills, lower Bengal, and evergreen forests of Kerala",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Piper longum.jpeg,
Piper nigrum,"Black Pepper, Kali Mirch, Kali Miri, and Kurumulaku","Colon, breast and lung cancer",Alkaloids,Piperine ,Root and seed,"Kerala, Karnataka and Tamil Nadu and to a limited extent in Maharashtra, North eastern states and Andaman & Nicobar Islands.",https://doi.org/10.5530/pj.2011.23.1,Piper nigrum.jpeg,
Piper sylvaticum,"Pahari pipul, Mountain long pepper",Breast cancer,Phenol,"Aristolactam, Sylvatesmin",Root,"Northeast of India, in the subtropical rainforests of the sub-Himalayan semi-evergreen forest, and in wet areas in forests",https://link.springer.com/book/10.1007/978-981-32-9147-8,Piper sylvaticum.jpeg,
Pittosporum viridiflorum,"Cheesewood, White cape beech",Prostate cancer,"Dextrin , flavonoid glycoside","Amylodextrin, Ruvoside",Whole plant,Kerala,https://link.springer.com/book/10.1007/978-981-32-9147-8,Pittosporum viridiflorum.jpeg,
Plantago ovate,"Isabgol, Ashwagolam",Colon cancer ,"Phenols, polysaccharides","Arabinoxylans, luteolin-7-O-β-glycoside",Seed,Gujarat and some parts of Rajasthan,https://doi.org/10.1007/978-981-13-7248-6,Plantago ovate.jpeg,
Pleione bulbocodioides,Window Sill Orchid,Gastric cancer,Flavonoid,Luteolin,Tuber and stem,Himalayas,https://link.springer.com/book/10.1007/978-981-32-9147-8,Pleione bulbocodioides.jpeg,
Plumbago zeylanica,"Chitramula, chitrak","Breast cancer, hepatoma, leukemia, melanoma, prostate cancer","Triterpenoids, flavonoids, alkaloids,","Plumbagin, isoshinanolone, plumbagic acid","Root, leaves, stem","Uttar Pradesh, West Bengal, Maharashtra, South India, Assam, Bihar, Rajasthan, and Tamil Nadu",https://clinphytoscience.springeropen.com/articles/10.1186/s40816-021-00271-7,Plumbago zeylanica.jpeg,
Podophyllum emodi,Himalayan May-apple,Testicular and lung cancer,"Lignan,Flavonoids,Resins and Essential Oils","Podophyllotoxin,Tannins",Rhizome,Temperate forests of the Himalayas,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Podophyllum emodi.jpeg,
Podophyllum hexandrum,Himalayan Mayapple,"Sarcomas, adenocarcinoma and melanoma",Podophyllotoxin,"Etoposide, teniposide",Rhizome,"Northern India, Kashmir",https://www.sciencedirect.com/science/article/abs/pii/S1043661804001094?via%3Dihub,Podophyllum hexandrum.jpeg,
Podophyllum peltatum,Mayapple ,Leukemia,Tetralin lignan,Podophyllotoxin,Rhizome,Indian cold desert,https://www.researchgate.net/publication/355809162_Unravelling_the_Anticancer_Mechanisms_of_Traditional_Herbal_Medicines_with_Metabolomics,Podophyllum peltatum.jpeg,
Polyalthia longifolia,Ashoka,Lymphoma,Alkaloid,"Oxopolyalthiaine, noroliveroline ","Stem, leaves, stem bark",Drier regions of southern India,https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Polyalthia longifolia.jpeg,
Poncirus trifoliata,Tang-ja-na-moo,Breast cancer cells,"Flavonoids,Alkaloids,Citrus Bioflavonoids,Pectin,Acids,Vitamins and Minerals","Rutin, naringin,hesperidin, hesperidin,naringin, citric acid ,malic acid","Fruits,Leaves,Roots","Himachal Pradesh,Uttarakhand,Sikkim,Darjeeling,Kodaikanal",https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Poncirus trifoliata.jpeg,
Pongamia glabra,Indian beech,Breast cancer,"Chalcones, flavones","Lonchocarpin, Lanceolatin",Bark and root,"Eastern Himalayas, South India",https://link.springer.com/book/10.1007/978-981-32-9147-8,Pongamia glabra.jpeg,
Pongamia pinnata,Karanja,Breast cancer and epithelial cancer,Flavanol,Tunicatachalcone,Stem and bark,Western Ghats,https://link.springer.com/book/10.1007/978-981-32-9147-8,Pongamia pinnata.jpeg,
Psidium guajava,Pera,Lung cancer,"Vitamin C,Dietary Fiber,Antioxidants,Tannins,Vitamins and Minerals","D-glucuronic acid, quercetin 3-glucuronide, loganin, and xanthyletin",Leaves,"Uttar Pradesh, Bihar, Maharashtra, Andhra Pradesh, Tamil Nadu, Karnataka, West Bengal, Gujarat, Rajasthan, Punjab, and Haryana",https://www.plantsjournal.com/archives/2015/vol3issue6/PartA/3-5-33.pdf,Psidium guajava.jpeg,
Psoralea corylifolia,"Babchi, bakuchi ",Colon cancer,Coumarin,"Bavachinin and psoralen, psoralidin",Seeds,"Central India and Eastern part of Rajasthan, Punjab, Uttar Pradesh",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Psoralea corylifolia.jpeg,
Pterocarpus marsupium,"Malabar kino, Indian kino tree, or Vijayasar",Breast and prostate cancer,"Stilbenoid , phytoalexin","Pterostilbene, Resveratrol",Leaves Flowers,"Central, western, and southern regions of India",https://link.springer.com/book/10.1007/978-981-32-9147-8,"Pterocarpus marsupium
.jpeg",
Punica granatum,Pomegranate,"Prostate cancer, Human breast cancer ",Polyphenols,"Punicalagin, punicalin, ellagic acid, and caffeic acid","Aqueous pericarp extract, seed oil","Maharashtra, Gujarat, Karnataka, Andhra Pradesh, Tamil Nadu, Madhya Pradesh, and Rajasthan",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Punica granatum.jpeg,
Pygmaeopremna herbacea,Grass smelly yellow viper,Lung cancer,Flavone,"Linoleic acid, Scutellarein",Root,"Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Kerala, Madhya Pradesh, Maharashtra, Odisha, Sikkim, Tamil Nadu, Uttar Pradesh",https://link.springer.com/book/10.1007/978-981-32-9147-8,Pygmaeopremna herbacea.jpeg,
Radix glycyrrhizae,Licorice root,Lung cancer,"Flavonoids,Coumarins,Triterpenoids,glycosides,Polysaccharides","Liquiritigenin, isoliquiritigenin,glabridin, herniarin,umbelliferone,ursolic acid,oleanolic acid,Saponins",Roots,"Uttar Pradesh, Rajasthan, Himachal Pradesh, Haryana, Punjab, and Madhya Pradesh",https://www.researchgate.net/publication/325806191_Traditional_Medicinal_Plants_and_their_therapeutic_potential_against_major_cancer_types,Radix glycyrrhizae.jpeg,
Raphanus sativus,"Mulaka, radish ",Human breast cancer,Quinone,Sulforaphane,Aerial parts,"Uttar Pradesh, Maharasthra",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Raphanus sativus.jpeg,
Rhazya stricta,"Harmal, Sihar, Hisawarg",Colon cancer and hepatocellular carcinoma,Alkaloid,Ebureine,Leaves,North Western parts of India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Rhazya stricta.jpeg,
Rheum emodi,"Rhubarb, Dolu, Revandachini","Human breast carcinoma, human hepatocellular carcinoma, human prostate cancer",Quinones,Anthraquinone,Rhizome,"The temperate Himalayas, from Kashmir to Sikkim, at an elevation of 2000–3800 m",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Rheum emodi.jpeg,
Rhus chinensis,Heimang,Human colon cancer,Quassinoid,"Bruceoside B, Brucein C, Brucein D",Leaves,Manipur,https://link.springer.com/book/10.1007/978-981-32-9147-8,Rhus chinensis.jpeg,
Ricinus communis,Castor bean or castor oil plant,Human melanoma,Monoterpenoids,"1,8-cineole, camphor and alpha-pinene, and a sesquiterpenoid: beta-caryophyllene, Ricin",Leaves,Throughout India,https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Ricinus communis.jpeg,
Rubia cordifolia,"Manjistha, or Indian Madder","Human Leukemia, human histolytic lymphoma",Anthraquinone,"Rubidianin, rubiadin, rosemary acids, purpurin, alizarin,xanthopurpurin",Root,Northwest Himalayas,https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Rubia cordifolia.jpeg,
Ruellia tuberosa,"Minnieroot, Snapdragon root, Fever root, Sheep potato, Iron root, Cracker plant",Human ovarian cancer,"Polyunsaturated hydrocarbon, phytostrerol, triterpenoid","Squalene, Beta-sitosterol, Lupeol",Tuber,Coastal alluvial soils in India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Ruellia tuberosa.jpeg,
Saraca asoca,"Kankeli, Ashoka, Ashokapatta",Leukemia,"Alkaloids, phtosterol, Fatty acids","Oleic, linoleic, palmitic and stearic acids,P-sitosterol, quercetin, kaempferol- 3-0-P-D- glucoside, quercetin- 3-0-P-D-glucoside, apigenin-7-0-p-D-glucoside, pelargonidin- 3, 5- diglucoside, cyanidin-3, 5-diglucoside, palmitic, stearic, linolenic, linoleic, p and y sitosterols, leucocyanidin and gallic acid",Flowers,Throughout India,https://www.jocpr.com/articles/saraca-asoca-ashoka-a-review.pdf,Saraca asoca.jpeg,
Saussurea lappa,"Costus, Postkhai, Kot, Kushta ","Lung Cancer, Breast Cancer and Prostate cancer",Sesquiterpene lactone,"Costunolide, Isodihydrocostunolide, cynaropicrin",Roots,"Sub alpine region of Jammu and Kashmir, Himachal Pradesh and Uttarakhand",https://doi.org/10.1007/978-981-13-7248-11,Saussurea lappa.jpeg,
Semecarpus anacardium,"Bhallika, Bhallataka, Bhela","Colorectal carcinoma, breast cancer","Terpenoid, flavonoids","Biflavones A, C, A1, and A2",Dried fruits,"Punjab, Assam, Khasi Hills, Madhya Pradesh, and Peninsular India",https://onlinelibrary.wiley.com/doi/10.1002/ptr.1501,Semecarpus anacardium.jpeg,
Serenoa repens,Saw palmetto,Prostate Cancer,"Fatty acids,Phytosterols,Flavonoids,Tannins,Polysaccharides","Lauric acid, oleic acid,linoleic acid,beta-sitosterol, stigmasterol, campesterol,quercetin, kaempferol,luteolin,resins",Ripe berries,Throughout India,https://www.researchgate.net/publication/325806191_Traditional_Medicinal_Plants_and_their_therapeutic_potential_against_major_cancer_types,Serenoa repens.jpeg,
Sida cordifolia,Bala,"Human colon cancer cells, human leukemia cells",Alkaloid,Cryptolepine,Whole plant extract isolate,Western Ghats,https://link.springer.com/chapter/10.1007/978-981-10-8548-2_22,Sida cordifolia.jpeg,
Silybum marianum,Marian Thistle,"Lung,gastric cancer","Flavonoid,Silymarin,Phytosterols,Fatty Acids","Silybin (also called silibinin), silychristin, silydianin,taxifolin, quercetin, kaempferol,beta-sitosterol,linoleic acid, oleic acid, palmitic acid,zinc, selenium",Seeds,"Uttar Pradesh, Punjab, Haryana, Rajasthan, Gujarat, Madhya Pradesh, and Tamil Nadu",https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancerr,Silybum marianum.jpeg,
Smilax zeylanica,"Kumujja loti,Vana madhusnuhi",Skin cancer,"Glycosides,Flavonoids,Sterols,Phenolic Compounds,Alkaloids,Polysaccharides,tannins","Saponins, β-sitosterol,stigmasterol,phenolic acids",Roots,"Kerala, Karnataka, Tamil Nadu, Andhra Pradesh, Odisha, West Bengal, Bihar, Jharkhand, and parts of Maharashtra",https://go.gale.com/ps/i.do?id=GALE%7CA299885239&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=19950748&p=AONE&sw=w,Smilax zeylanica.jpeg,
Solanum nigrum,Makoi or black nightshade,"Liver Cancer, Lung Cancer and Breast  Cancer",Glycoside,Diosgenin,Aqueous extract,"Andhra Pradesh,Arunachal Pradesh,Bihar,Chattisgarh,Haryana,Jammu and Kashmir, Jharkhand, Karnataka","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10773844/#:~:text=nigrum%20has%20exhibited%20in%20vitro,metastasis%20in%20melanoma%20(31).",Solanum nigrum.jpeg,
Solanum xanthocarpum,"Kantakari, yellow-fruit nightshade",Leukemia,"Flavonoids, phenols","Catechins, ellagic acid",Fruit,Throughout India,https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Solanum xanthocarpum.jpeg,
Sphagneticola calendulacea,Pilabhangara,Brain tumors,"Coumestan, flavonoid","Wedelolactone, Luteolin, Apigenin","Leaves, Seed, Flower","Mangaluru, Karnataka, and Manipal",https://link.springer.com/book/10.1007/978-981-32-9147-8,Sphagneticola calendulacea.jpeg,
Stereospermum chelonoides,"Padhal, Podal, Parul",Tumours,Naphthoquinone,Lapachol,Root,Central and North-Eastern India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Stereospermum chelonoides.jpeg,
Stevia rebaudiana,"Stevia, Sweet Leaves, Sugar Leaves, Sweet Honey Leaves, Rebiana",Human breast cancer,Glycoside,"Stevioside, steviolbioside, steviolmonoside, rebaudioside (A to F)",Leaves,"Maharashtra, Punjab, Karnataka, Chhattisgarh, Madhya Pradesh and Andhra Pradesh",https://doi.org/10.1007/978-981-13-7248-7,Stevia rebaudiana.jpeg,
Strychnos nux-vomica,"Kajara, kuchila",Lliver cancer,Alkaloids,"Strychnine , brucine,protostrychnine, vomicine, n-oxystrychnine, pseudostrychnine, isostrychnine, chlorogenic acid",Seeds,"Evergreen forests of West Bengal, Bihar, Maharashtra, Odisha, Central and South India",https://doi.org/10.1007/978-981-13-7248-5,Strychnos nux-vomica.jpeg,
Suregada multiflora,False lime,Breast cancer,Diterpene lactone,Suregadolide C,Wood,"Andhra Pradesh, Odisha, Kerala, Chattisgarh",https://link.springer.com/book/10.1007/978-981-32-9147-8,Suregada multiflora.jpeg,
Swertia chirayta,"Chirata, Kirata-tikta","Human breast cancer,Human colon cancer,prostate cancer","Iridoids,Xanthones,Alkaloids,Flavonoids,Terpenoids","Chiratanin, swertiamarin, amarogentin,sweroside,Chiratone, isochiratone,methyl swertianin,rutin ,quercetin, β-sitosterol ",Whole plant,Himalayas and in hills of Meghalaya.,http://pu.edu.pk/images/journal/zology/PDF-FILES/24-31_2_16.pdf,Swertia chirayta.jpeg,
Syzygium aromaticum,Clove,"Colon, stomach, breast","Phenolic compound, sesquiterpene,flavonoid","Eugenol,Acetyleugenol,Quercetin.Kaempferol,Tannins,Caryophyllene",Flower buds,"Kerala and Tamil Nadu, Western Ghats and Nilgiri Hills ",https://japer.in/article/biological-activities-of-some-indian-medicinal-plants,Syzygium aromaticum.jpeg,
Syzygium cumini,"Java/Black plum, Malabar plum","Cervical cancer, Breast cancer","Phenolics, Terpenoids","Oleanolic acid, betulinic acid, and dimethyl cardamonins, epigallocatechin, samarangensis A and B, pinocembrin","Fruit extract, leaf, seed ","Indo-Gangetic plains in the north to Tamil Nadu, Madhya Pradesh",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Syzygium cumini.jpeg,
Tabernaemomtana divaricata,Chameli,Laryngeal cancer,"Indole Alkaloids,Tannins,Flavonoids,Essential Oils","Apocynin,Carotenoids,Sterols","Leave,Bark,Roots,Flowers",Throughout India,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Tabernaemomtana divaricata.jpeg,
Tanacetum gracile,Feverfew,Breast cancer ,Monoterpene,"Lavendulol, lavendulol acetate, alpha-pinene, 1,8-cineole, CIS-beta-ocimene, borneol, limonene and chamazulene",Entire plant,Old deserts and stony slopes of the Himalayas,https://doi.org/10.5530/pj.2011.23.1,Tanacetum gracile.jpeg,
Taxus brevifolia,Himalayan yew,"Breast Cancer, Lung Cancer and Ovarian Cancer",Alkaloid,Cepholomannine,Bark,"Himalayan region of India, from Kashmir to Sikkim",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Taxus brevifolia.jpeg,
